"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Master","Kelola Barang","Barang","/goods-manage","Master List","—","#, Kode Barang, Nama Barang, Supplier Asal, Wujud Fisik & Kondisi, Real Stok, Harga Beli, Kategori, Sub Kategori, Satuan, Aging Barang (Lama Berada di Gudang), #","Search/Autocomplete Detail, Filter Supplier, Filter Jenis Bahan, Filter Periode","[Detail Barang] • Field: Kode, Nama Barang, Kategori, Sub Kategori, Satuan, Harga Beli, Stok Terendah • Tabel Detail: (#, Jenis Akun, Kode CoA, Nama CoA) • Aksi Modal: Hydro Marine Collagen, Bahan Baku, Active, gr, Akun Persediaan, Akun Penjualan, Akun Retur Penjualan, Akun Diskon Penjualan, Persediaan (Perjalanan), Akun COGS, Akun Retur Pembelian, Akun Barang Belum Faktur, Tutup","Buat, Lihat, Sunting, Hapus, Modal Hydro Marine Collagen, Modal Bahan Baku, Modal Active, Modal gr, Modal Akun Persediaan, Modal Akun Penjualan, Modal Akun Retur Penjualan, Modal Akun Diskon Penjualan, Modal Persediaan (Perjalanan), Modal Akun COGS, Modal Akun Retur Pembelian, Modal Akun Barang Belum Faktur, Modal Tutup",""""" | Poin 48-52: Kolom kondisi bagus & cacat dihapus, diganti Real Stok. Menampilkan supplier asal barang, wujud fisik & kondisi bahan, serta lama barang ada di gudang (aging barang)"
"Master","Kelola Barang","Buat Barang","/goods-manage/create","Form","—","—","Kategori * Kategori barang, Sub Kategori Sub kategori (opsional), Kode * Kode unik barang, Nama Barang * Nama lengkap barang, Deskripsi Keterangan (opsional), Harga Beli * Harga pembelian, Stok Terendah * Minimum stok alert, Satuan * Unit pengukuran, Foto Barang Gambar produk (opsional), Pilih file, Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""""" | Format Kode Universal: Tersedia versi lengkap (DL-DIV-PRD-DDMMYYYY-0001) & versi ringkas (PRD-DDMMYYYY-0001). Nomor urut akhir bersifat global & berkelanjutan (tidak reset)"
"Master","Kelola CoA","CoA Jurnal Otomatis","/coa-auto-manage","Master List","—","Rule Name, Document Type, Condition (Contract Type, Item Type), Debit Account, Credit Account, Active, #","Document Type* (Faktur Pembelian, Faktur Penjualan, DP, Pembayaran, Konsumsi BOM, dll), Condition (opsional: Jasa Maklon / Jual Putus), Debit Account* (search-select COA), Credit Account* (search-select COA)","—","Kembali, Simpan, Tambah Rule, Edit Rule, Toggle Active","Otak posting otomatis (0.5). Minimal 1 rule aktif per Document Type sebelum transaksi live. Restriksi hak akses hanya Finance Admin/Controller"
"Master","Kelola CoA","CoA","/coa-manage","Master List","—","Account Code, Account Name, Account Type (Asset/Liability/Equity/Revenue/Expense), Parent Account, Normal Balance (Debit/Credit), Is Active, #","Search, Filter Type, Filter Active","[Detail CoA] Hierarki Akun, Saldo Berjalan, Transaksi Terakhir","+ Buat, Copy, Excel, Lihat, Edit, Hapus / Deactivate","Delete hanya jika belum ada transaksi (referential integrity); jika ada -> deactivate. Auto numbering by type (1xxx Asset, 2xxx Liability, dst)"
"Master","Kelola CoA","Buat CoA","/coa-manage/create","Form","—","—","Account Code* (unique), Account Name*, Account Type*, Parent Account (opsional hierarki), Normal Balance*, Allow Manual Journal* (boolean)","—","Kembali, Simpan","Allow Manual Journal = false mencegah transaksi manual sembarangan di Jurnal Umum (khusus akun AP Control, AR Control, WIP)"
"Master","Kelola Gudang","Hak Akses Gudang","/warehouse-access-manage","Master List","—","#, Nama, Email, Nomor Telepon, Hak Akses, Gudang, #","Search, GSTable1_length","[Hak Akses Gudang] • Input Modal: warehouses_id • Aksi Modal: Tutup","Gudang, Akses Gudang, Modal Tutup",""""""
"Master","Kelola Gudang","Gudang","/warehouse-manage","Master List","—","#, Gudang, Lokasi, Telepon, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""""
"Master","Kelola Gudang","Buat Gudang","/warehouse-manage/create","Form","—","—","Nama * Nama gudang, Telepon Nomor telepon (opsional), Provinsi * Pilih provinsi, Kota * Pilih provinsi terlebih dahulu, Alamat * Alamat lengkap gudang","—","Kembali, Simpan",""""""
"Master","Kelola Kas & Bank","Bank Account Master","/bank-account-manage","Master List","Total Saldo Kas & Bank (Konsolidasi Seluruh Rekening)","Bank Name, Account No, Account Type (Bank / Cash / Petty Cash), Currency, Current Book Balance, GL Account Mapping, Active, #","Search, Filter Type","[Detail Rekening] Profil Bank, Nomor Rekening, Buku Kas Terkait, Riwayat Mutasi Rekonsiliasi Terakhir","+ Buat Rekening, Edit, Deactivate","Saldo real-time di sini menjadi sumber data navbar AP Aging dan Cash Position dashboard"
"Master","Kelola Kas & Bank","Buat Bank Account","/bank-account-manage/create","Form","—","—","Bank Name*, Account No*, Account Type* (Bank/Cash/Petty Cash), Currency*, GL Account Mapping* (search-select COA)","—","Kembali, Simpan","Nomor akun otomatis dan mapping ke akun neraca kas/bank"
"Master","Kelola Pajak","Tax Setup","/tax-setup","Master List","—","Tax Code, Name (PPN Masukan / PPN Keluaran / PPh 23 / PPh 21), Rate (%), GL Account, Status, #","Search","[Detail Pajak] Tarif pajak, akun penampung di neraca, aturan aktivasi","+ Buat Tarif Pajak, Edit, Toggle Active","Setup oleh Finance Admin. Ruang lingkup: PPN, PPh 23, rekap PPh 21 (tanpa e-Faktur/e-Bupot DJP langsung) | Poin 35: Modul Pajak dan e-Faktur TIDAK PERLU DIKERJAKAN (di-skip dari scope pengerjaan sesuai arahan final)"
"Master","Kelola Pelanggan","Kategori Pelanggan","/customer-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""""
"Master","Kelola Pelanggan","Buat Kategori Pelanggan","/customer-category-manage/create","Form","—","—","Nama Kategori * Nama kategori pelanggan, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""""""
"Master","Kelola Pelanggan","Pelanggan","/customer-manage","Master List","Total Sample Fee, Total Produksi / Job Order, Total Legalitas / Escrow Client, Calon Pelanggan, Pelanggan RO","Customer Code, Brand Name, Contract Type (Jasa Maklon / Jual Putus), Field/Card: Sample, Produksi, Legalitas, Credit Limit, Payment Term, Active, #","Search/Autocomplete, Filter Contract Type, Filter Periode (Date Range Custom)","[Detail Pelanggan] Profil Brand, PIC, Alamat Pengiriman, Contract Type, 3 Cards Khusus (Sample Fee, Produksi JO, Legalitas Escrow), Rekap SO & Invoice AR","Buat, Export Excel, Lihat, Sunting, Hapus, Modal Vivin Anggi Ardita (FYS), Modal Pelanggan Sample, Modal Tutup","Contract Type menentukan perlakuan pajak dan akun revenue pada Faktur Penjualan | Poin 2: Ditambahkan field & card khusus untuk Sample, Produksi, dan Legalitas pada master customer"
"Master","Kelola Pelanggan","Buat Pelanggan","/customer-manage/create","Form","—","—","Customer Code (auto global), Brand / Company Name*, PIC*, Contract Type* (Jasa Maklon/Jual Putus), Segmentasi (Sample / Produksi / Legalitas), Credit Limit, Payment Term, Alamat Kirim","—","Kembali, Simpan",""""" | Poin 2: Field klasifikasi Sample, Produksi, Legalitas"
"Master","Kelola Pelanggan","Pelanggan Saya","/customer-my-manage","Master List","—","#, Nama, Telepon, Kategori, Kota, Penginput, #","Search, GSTable1_length","—","Buat",""""""
"Master","Kelola Pelanggan","Buat Pelanggan Saya","/customer-my-manage/create","Form","—","—","Nama Pelanggan *, Kode Pelanggan, Kategori *, Telepon *, Email, Tanggal Lahir, Provinsi *, Kota *, Alamat","—","Kembali, Simpan",""""""
"Master","Kelola Pengguna","Hak Akses","/role-manage","Master List","—","#, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-md');)","Buat, Lihat, Sunting, Hapus",""""""
"Master","Kelola Pengguna","Buat Hak Akses","/role-manage/create","Form","—","—","Nama * Nama role","—","Kembali, Simpan",""""""
"Master","Kelola Pengguna","Pengguna","/user-manage","Master List","—","#, Kode/NIP, Nama, Email, Nomor Telepon, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-lg');)","Pengguna Tidak Aktif, Buat, Lihat, Sunting, Nonaktifkan",""""""
"Master","Kelola Pengguna","Buat Pengguna","/user-manage/create","Form","—","—","Kode/NIP Kode unik (opsional), Nama * Nama lengkap, Foto Foto profil (opsional), Pilih file, Email Email (opsional), Nomor Telepon Telepon (opsional), Kata Sandi * Password, Konfirmasi Kata Sandi * Ulangi password, Hak Akses * Role pengguna","—","Kembali, Simpan",""""""
"Master","Kelola Penjualan","Kategori Penjualan","/sales-category","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","[Detail Kategori Penjualan] • Field: Nama Kategori, Deskripsi • Tabel Detail: (#, Urutan, Nama Timeline, Periode, Total) • Aksi Modal: Produk Baru, Tutup","Buat, Lihat, Timeline, Sunting, Hapus, Modal Produk Baru, Modal Tutup",""""""
"Master","Kelola Penjualan","Buat Kategori Penjualan","/sales-category/create","Form","—","—","Nama *, Deskripsi","—","Kembali, Simpan",""""""
"Master","Kelola Penjualan","Target Penjualan","/sales-target","Master List","—","#, Marketing, Periode, Target, Achievement, % Capaian, #","Search, GSTable1_length","—","Buat",""""""
"Master","Kelola Penjualan","Buat Target Penjualan","/sales-target/create","Form","—","—","Marketing *, Tahun *, Bulan *, Target (Rp) *","—","Kembali, Simpan",""""""
"Master","Kelola Supplier","Kategori Supplier","/supplier-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""""
"Master","Kelola Supplier","Buat Kategori Supplier","/supplier-category-manage/create","Form","—","—","Nama Kategori * Nama kategori supplier, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""""""
"Master","Kelola Supplier","Supplier","/supplier-manage","Master List","—","Vendor Code, Name, Kategori Bahan (Bahan Baku / Primer / Sekunder / Pembantu), Kategori COA, Payment Term, Bank Account, NPWP, PKP Status, Real Stok Supplier, Active, #","Search Detail, Filter Kategori Bahan (Bahan Baku / Primer / Sekunder / Pembantu), Filter Periode (Date Range Custom)","[Detail Supplier] • Field: Nama Supplier, Kategori, Kontak Person (PIC), Telepon, Deskripsi, Provinsi, Kota/Kabupaten, Alamat, Pajak • Aksi Modal: DKSH, Bahan Baku, Tutup","+ Buat, Import Excel (template + preview validasi), Export Excel, Lihat, Edit, Deactivate","Kategori Riil (Raw Material/Packaging/Jasa/Lainnya) dipisah dari Kategori COA (Akun GL default per vendor) | Poin 1 & 47: Fitur Import Excel vendor. Filter supplier berdasarkan jenis bahan (bahan baku, primer, sekunder, pembantu). Kategorisasi pengadaan murni berbasis COA"
"Master","Kelola Supplier","Buat Supplier","/supplier-manage/create","Form","—","—","Vendor Code (Universal auto: ringkas/lengkap global sequence), Name*, Kategori Bahan* (Bahan Baku/Primer/Sekunder/Pembantu), Kategori COA* (search-select GL), Address*, PIC*, Phone*, Payment Term* (Net days), Bank Account*, NPWP, PKP Status*","—","Kembali, Simpan","PKP Status menentukan perhitungan otomatis PPN Masukan pada Faktur Pembelian | Poin 3: Kategorisasi pengadaan dilakukan berdasarkan COA saja"
"Persetujuan","Pembelian ~","Pembelian ~","/purchase-approval","Approval List","—","#, Kode, Tanggal, Supplier, Gudang, Pembuat, Nominal, Status, #","Search, GSTable1_length","[Detail Pembelian] Field: Kode, Status, Supplier, Gudang, Pembuat, Tanggal, Jatuh Tempo, Subtotal, Pajak, Grand Total, Catatan • Tabel Detail: (#, Barang, Qty, Harga Satuan, Diskon, Total, Qty Diterima, Sisa) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Catatan Tolak), Tutup",""""""
"Persetujuan","Penjualan Produk ~","Penjualan Produk ~","/sales-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Kategori, Merek, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Order] Field: Kode, Status, Pelanggan, Kategori, Brand, Tanggal, Jatuh Tempo, Dibuat Oleh, Grand Total • Tabel Detail: (Tipe, Item / Formula, Netto, Qty, Harga, Subtotal, Diskon, Pajak) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
"Persetujuan","Penjualan Sample ~","Penjualan Sample ~","/sales-sample-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Nama Produk, Rev, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Sample] Field: Kode, Status, Pelanggan, Formulator, Tanggal, Pembuat, Harga, Diskon, Subtotal, Pajak, Total • Info Produk: Netto, Form, Color, Flavor, Target, Ref • Deskripsi & Klaim: Material Request, Claim • Nama Produk Inventory • Riwayat Revisi","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
